period_end,entity_id,client_group_id,external_ar_eom
2022-04-30,CADIVI,CG01,12874143418.983992
2022-04-30,CADIVI,CG02,5321887580.112944
2022-04-30,CADIVI,CG03,5028304782.760283
2022-04-30,CADIVI,CG04,3217400061.028361
2022-04-30,CADIVI,CG05,2474669432.556925
2022-04-30,CADIVI,CG06,2293698628.790593
2022-04-30,CADIVI,CG07,1896172956.3804245
2022-04-30,CADIVI,CG08,1587757410.5212169
2022-05-31,CADIVI,CG01,7945004693.395879
2022-05-31,CADIVI,CG02,4393463334.664749
2022-05-31,CADIVI,CG03,4304871812.696087
2022-05-31,CADIVI,CG04,2806492975.82762
2022-05-31,CADIVI,CG05,2171444731.146219
2022-05-31,CADIVI,CG06,2022169500.0791297
2022-05-31,CADIVI,CG07,1869482695.5683072
2022-05-31,CADIVI,CG08,1469209021.7406561
2022-06-30,CADIVI,CG01,10237886034.910732
2022-06-30,CADIVI,CG02,5939836051.7612295
2022-06-30,CADIVI,CG03,4187126419.090548
2022-06-30,CADIVI,CG04,3127343462.197468
2022-06-30,CADIVI,CG05,2563043422.060601
2022-06-30,CADIVI,CG06,2220347863.441273
2022-06-30,CADIVI,CG07,1814923537.6687608
2022-06-30,CADIVI,CG08,1510191710.9771943
2022-07-31,CADIVI,CG01,8612295907.014166
2022-07-31,CADIVI,CG02,5822837862.233403
2022-07-31,CADIVI,CG03,3658484371.310218
2022-07-31,CADIVI,CG04,2782862535.134217
2022-07-31,CADIVI,CG05,2733722891.2363267
2022-07-31,CADIVI,CG06,2293956649.8401217
2022-07-31,CADIVI,CG07,2083636676.36361
2022-07-31,CADIVI,CG08,1470473378.9283962
2022-08-31,CADIVI,CG01,8671990070.156
2022-08-31,CADIVI,CG02,5049165955.249048
2022-08-31,CADIVI,CG03,3918171354.161109
2022-08-31,CADIVI,CG04,3091556472.1520104
2022-08-31,CADIVI,CG05,2141155522.3098125
2022-08-31,CADIVI,CG06,2012158464.8144894
2022-08-31,CADIVI,CG07,1501345477.569411
2022-08-31,CADIVI,CG08,1450901437.2480958
2022-09-30,CADIVI,CG01,8723220648.09155
2022-09-30,CADIVI,CG02,5179457198.4623995
2022-09-30,CADIVI,CG03,4049777774.5053134
2022-09-30,CADIVI,CG04,2867360505.1998553
2022-09-30,CADIVI,CG05,2775187429.6025815
2022-09-30,CADIVI,CG06,2042573923.3606362
2022-09-30,CADIVI,CG07,1725059382.7647493
2022-09-30,CADIVI,CG08,1164430539.0148427
2022-10-31,CADIVI,CG01,8770327776.521885
2022-10-31,CADIVI,CG02,4719104118.704266
2022-10-31,CADIVI,CG03,4485175188.058159
2022-10-31,CADIVI,CG04,2768350424.2535987
2022-10-31,CADIVI,CG05,2541956011.103711
2022-10-31,CADIVI,CG06,1982501641.514212
2022-10-31,CADIVI,CG07,1695153318.0812457
2022-10-31,CADIVI,CG08,1394891253.9770043
2022-11-30,CADIVI,CG01,11051576878.334265
2022-11-30,CADIVI,CG02,4074244154.2665577
2022-11-30,CADIVI,CG03,3300087192.3648815
2022-11-30,CADIVI,CG04,2786999286.153606
2022-11-30,CADIVI,CG05,2361085861.614849
2022-11-30,CADIVI,CG06,2205318400.907144
2022-11-30,CADIVI,CG07,1851898941.3860843
2022-11-30,CADIVI,CG08,1416917832.492861
2022-12-31,CADIVI,CG01,10930122482.385117
2022-12-31,CADIVI,CG02,5676559653.722664
2022-12-31,CADIVI,CG03,4752648861.496789
2022-12-31,CADIVI,CG04,3181076661.709497
2022-12-31,CADIVI,CG05,2338221191.889465
2022-12-31,CADIVI,CG06,2318916133.4372044
2022-12-31,CADIVI,CG07,1878540606.5348635
2022-12-31,CADIVI,CG08,1548531461.783701
2023-01-31,CADIVI,CG01,7642183057.45394
2023-01-31,CADIVI,CG02,4887060032.857913
2023-01-31,CADIVI,CG03,3903183880.52671
2023-01-31,CADIVI,CG04,3048602412.350875
2023-01-31,CADIVI,CG05,2466379878.6223664
2023-01-31,CADIVI,CG06,1880672559.4051023
2023-01-31,CADIVI,CG07,1711118333.5715528
2023-01-31,CADIVI,CG08,1445595812.378207
2023-02-28,CADIVI,CG01,12494961555.231731
2023-02-28,CADIVI,CG02,5710192012.573273
2023-02-28,CADIVI,CG03,4463570917.943795
2023-02-28,CADIVI,CG04,2928337726.4871087
2023-02-28,CADIVI,CG05,2141793979.320141
2023-02-28,CADIVI,CG06,2288921676.359588
2023-02-28,CADIVI,CG07,1787048056.3678021
2023-02-28,CADIVI,CG08,1640242654.0318508
2023-03-31,CADIVI,CG01,8013476958.541801
2023-03-31,CADIVI,CG02,4951897602.457682
2023-03-31,CADIVI,CG03,3934050014.872244
2023-03-31,CADIVI,CG04,2823931745.8483725
2023-03-31,CADIVI,CG05,1882249113.270617
2023-03-31,CADIVI,CG06,2059715084.6343226
2023-03-31,CADIVI,CG07,1496307799.8928134
2023-03-31,CADIVI,CG08,1441158907.5100617
2023-04-30,CADIVI,CG01,8126752269.255072
2023-04-30,CADIVI,CG02,5133295069.482772
2023-04-30,CADIVI,CG03,4273565770.1764307
2023-04-30,CADIVI,CG04,3125464403.6966662
2023-04-30,CADIVI,CG05,2322743194.006283
2023-04-30,CADIVI,CG06,2377235221.18789
2023-04-30,CADIVI,CG07,1944993610.43733
2023-04-30,CADIVI,CG08,1434682939.2340493
2023-05-31,CADIVI,CG01,11674224431.37989
2023-05-31,CADIVI,CG02,6581438434.675896
2023-05-31,CADIVI,CG03,3754276079.5912642
2023-05-31,CADIVI,CG04,2773785033.299475
2023-05-31,CADIVI,CG05,2808778274.463074
2023-05-31,CADIVI,CG06,1913456515.343494
2023-05-31,CADIVI,CG07,1591634542.3254395
2023-05-31,CADIVI,CG08,1454198965.691555
2023-06-30,CADIVI,CG01,9528388839.508974
2023-06-30,CADIVI,CG02,5062877114.848966
2023-06-30,CADIVI,CG03,3927832898.3873105
2023-06-30,CADIVI,CG04,2794125419.7266827
2023-06-30,CADIVI,CG05,2195066221.8191338
2023-06-30,CADIVI,CG06,2586387555.1147614
2023-06-30,CADIVI,CG07,1858758504.2736337
2023-06-30,CADIVI,CG08,1637600891.8129632
2023-07-31,CADIVI,CG01,9027232849.812452
2023-07-31,CADIVI,CG02,4804837887.653393
2023-07-31,CADIVI,CG03,2957134766.5373054
2023-07-31,CADIVI,CG04,2478359177.7192583
2023-07-31,CADIVI,CG05,1883205770.547904
2023-07-31,CADIVI,CG06,1559439586.9797523
2023-07-31,CADIVI,CG07,1518516796.867593
2023-07-31,CADIVI,CG08,1627658202.5246089
2023-08-31,CADIVI,CG01,10622053885.794403
2023-08-31,CADIVI,CG02,5509435702.09817
2023-08-31,CADIVI,CG03,4438055878.961027
2023-08-31,CADIVI,CG04,2675108957.7678037
2023-08-31,CADIVI,CG05,2475207980.7552147
2023-08-31,CADIVI,CG06,2207946835.711719
2023-08-31,CADIVI,CG07,1662262438.027754
2023-08-31,CADIVI,CG08,1552236578.7467864
2023-09-30,CADIVI,CG01,9162944037.757605
2023-09-30,CADIVI,CG02,4841531273.857177
2023-09-30,CADIVI,CG03,3739607161.5903983
2023-09-30,CADIVI,CG04,3056141223.7941756
2023-09-30,CADIVI,CG05,2503209893.4453387
2023-09-30,CADIVI,CG06,1952860570.1670969
2023-09-30,CADIVI,CG07,1822791491.1557992
2023-09-30,CADIVI,CG08,1601399704.7599833
2023-10-31,CADIVI,CG01,11228767649.612757
2023-10-31,CADIVI,CG02,6165876063.757752
2023-10-31,CADIVI,CG03,3826816750.7264366
2023-10-31,CADIVI,CG04,3548996827.164615
2023-10-31,CADIVI,CG05,2301042418.9274845
2023-10-31,CADIVI,CG06,2348487228.6119065
2023-10-31,CADIVI,CG07,1834946151.8564305
2023-10-31,CADIVI,CG08,1456198928.3481295
2023-11-30,CADIVI,CG01,8429483115.232874
2023-11-30,CADIVI,CG02,4072051505.342012
2023-11-30,CADIVI,CG03,4115231811.1208014
2023-11-30,CADIVI,CG04,3086726307.619911
2023-11-30,CADIVI,CG05,1973286681.902422
2023-11-30,CADIVI,CG06,1932791145.986876
2023-11-30,CADIVI,CG07,1491466183.381155
2023-11-30,CADIVI,CG08,1255874946.5640714
2023-12-31,CADIVI,CG01,9756238533.409271
2023-12-31,CADIVI,CG02,6467507520.819598
2023-12-31,CADIVI,CG03,4078237265.7053356
2023-12-31,CADIVI,CG04,3366478478.1837535
2023-12-31,CADIVI,CG05,2472347342.607285
2023-12-31,CADIVI,CG06,2312923912.729748
2023-12-31,CADIVI,CG07,1754257012.2417402
2023-12-31,CADIVI,CG08,1522725781.3235893
2024-01-31,CADIVI,CG01,8590648366.164091
2024-01-31,CADIVI,CG02,5622223357.931776
2024-01-31,CADIVI,CG03,4367987513.3949375
2024-01-31,CADIVI,CG04,3103382479.305502
2024-01-31,CADIVI,CG05,2703803820.7843714
2024-01-31,CADIVI,CG06,2347860369.3753533
2024-01-31,CADIVI,CG07,1691796316.0882993
2024-01-31,CADIVI,CG08,1519393147.4875395
2024-02-29,CADIVI,CG01,9156195800.218317
2024-02-29,CADIVI,CG02,4830186518.788642
2024-02-29,CADIVI,CG03,4643963082.039911
2024-02-29,CADIVI,CG04,2958466953.125173
2024-02-29,CADIVI,CG05,2233923616.1545987
2024-02-29,CADIVI,CG06,2236765786.2305236
2024-02-29,CADIVI,CG07,1341006380.391032
2024-02-29,CADIVI,CG08,1139844735.9911413
2024-03-31,CADIVI,CG01,9863328830.319517
2024-03-31,CADIVI,CG02,5652890987.045146
2024-03-31,CADIVI,CG03,3720342737.5593133
2024-03-31,CADIVI,CG04,3056645892.0565963
2024-03-31,CADIVI,CG05,2942073747.4401245
2024-03-31,CADIVI,CG06,2321395634.6800175
2024-03-31,CADIVI,CG07,1869454941.6340826
2024-03-31,CADIVI,CG08,1464624194.9977188
2024-04-30,CADIVI,CG01,7274852156.097478
2024-04-30,CADIVI,CG02,5333044113.0640135
2024-04-30,CADIVI,CG03,4385631504.378141
2024-04-30,CADIVI,CG04,2433286144.1078753
2024-04-30,CADIVI,CG05,2157874461.1898327
2024-04-30,CADIVI,CG06,1787845746.4530354
2024-04-30,CADIVI,CG07,1565733074.631052
2024-04-30,CADIVI,CG08,1451916674.5092473
2024-05-31,CADIVI,CG01,8965000609.44324
2024-05-31,CADIVI,CG02,5109129145.647863
2024-05-31,CADIVI,CG03,3602414917.672368
2024-05-31,CADIVI,CG04,1984664572.0394695
2024-05-31,CADIVI,CG05,1901146031.9818792
2024-05-31,CADIVI,CG06,2075392312.9043367
2024-05-31,CADIVI,CG07,1143718839.1329372
2024-05-31,CADIVI,CG08,1273851954.1167943
2024-06-30,CADIVI,CG01,9586409358.766056
2024-06-30,CADIVI,CG02,4653873033.880512
2024-06-30,CADIVI,CG03,4038545239.7714415
2024-06-30,CADIVI,CG04,2929455597.69098
2024-06-30,CADIVI,CG05,2625437731.3323817
2024-06-30,CADIVI,CG06,1901481979.7491176
2024-06-30,CADIVI,CG07,1726162044.3156078
2024-06-30,CADIVI,CG08,1180457400.8645036
2024-07-31,CADIVI,CG01,9230311468.29049
2024-07-31,CADIVI,CG02,5304300575.967231
2024-07-31,CADIVI,CG03,4360929579.670211
2024-07-31,CADIVI,CG04,2633979110.2242837
2024-07-31,CADIVI,CG05,2554651867.5116878
2024-07-31,CADIVI,CG06,2396749643.6193204
2024-07-31,CADIVI,CG07,1928007659.2790205
2024-07-31,CADIVI,CG08,1312929027.9239526
2024-08-31,CADIVI,CG01,10065801021.304071
2024-08-31,CADIVI,CG02,4281028678.4322414
2024-08-31,CADIVI,CG03,3658977108.1327696
2024-08-31,CADIVI,CG04,3184952439.7066975
2024-08-31,CADIVI,CG05,2405894129.594084
2024-08-31,CADIVI,CG06,2134239042.2767255
2024-08-31,CADIVI,CG07,2083672624.1075993
2024-08-31,CADIVI,CG08,1532740727.4674022
2024-09-30,CADIVI,CG01,12379007109.009926
2024-09-30,CADIVI,CG02,5361066568.51538
2024-09-30,CADIVI,CG03,3920853428.218771
2024-09-30,CADIVI,CG04,3173637746.8179836
2024-09-30,CADIVI,CG05,2541635812.9226117
2024-09-30,CADIVI,CG06,2018196436.6379607
2024-09-30,CADIVI,CG07,1637541944.4515915
2024-09-30,CADIVI,CG08,1873213928.590362
2024-10-31,CADIVI,CG01,8881196199.662283
2024-10-31,CADIVI,CG02,5884127751.250928
2024-10-31,CADIVI,CG03,4146777163.6872187
2024-10-31,CADIVI,CG04,2918939425.0344605
2024-10-31,CADIVI,CG05,2530440932.5897675
2024-10-31,CADIVI,CG06,1825455145.2899373
2024-10-31,CADIVI,CG07,1860161535.8489132
2024-10-31,CADIVI,CG08,1783767852.2852151
2024-11-30,CADIVI,CG01,9285635934.797934
2024-11-30,CADIVI,CG02,5152129854.917028
2024-11-30,CADIVI,CG03,4048059408.5195446
